"persona","feature","access","confidence"
"Buyer","Audit Request Creation","Primary owner","Confirmed from code"
"Buyer","RFQ Lifecycle","Primary owner","Confirmed from code"
"Buyer","Audit Summary & Tracking","Owner/consumer","Confirmed from code"
"Buyer","Report Signoff","Approver","Strong inference from code"
"Supplier","Questionnaire Response","Primary responder","Confirmed from code"
"Supplier","DigiLocker Upload/Attach","Primary owner","Confirmed from code"
"Supplier","CAPA","Owner","Strong inference from code"
"Supplier","Onboarding Wizard","Primary owner","Confirmed from code"
"SupplierUser","Assigned Questionnaire Sections","Contributor","Confirmed from code"
"SupplierUser","DigiLocker Upload/Attach","Contributor","Confirmed from code"
"SupplierUser","Users Management","Restricted","Confirmed from code"
"Auditor","Questionnaire Review & Comments","Primary owner","Confirmed from code"
"Auditor","Compliance Check","Primary owner","Confirmed from code"
"Auditor","Report Generation","Primary owner","Confirmed from code"
"Auditor","Test Artifacts","Primary owner","Confirmed from code"
"Admin","Cross-role operational management","Broad","Confirmed from code"
"Admin","RAG Vector Setup","Owner","Confirmed from code"
"Admin","AskHawk Admin KB Sync","Owner","Confirmed from code"
"Tenant Admin","Tenant governance (company/users)","Primary owner","Confirmed from code"
"Tenant Admin","Workflow milestone configuration","Owner","Confirmed from code"
"Superadmin","Platform tenant management","Primary owner","Confirmed from code"
"Superadmin","Platform-wide admin logs","Primary owner","Confirmed from code"
"All Authenticated Roles","AskHawk Chat","Consumer (tenant scoped)","Confirmed from code"
