"matrix_type","key","state_or_status","available","restricted","source","confidence"
"persona_vs_pages","buyer","N/A","request-audit,rfqs,audits,insights,supplier-marketplace","auditor-only test-artifacts and report actions","frontend menu + backend permits","Confirmed from code"
"persona_vs_pages","supplier","N/A","audits(report questionnaire),digilocker,sites,products","buyer request creation, auditor compliance action","menu + routes","Confirmed from code"
"persona_vs_pages","supplierUser","N/A","assigned questionnaire sections,digilocker","users menu and unassigned sections","SidebarNav + questionnaire assignment","Confirmed from code"
"persona_vs_pages","auditor","N/A","audits,test-artifacts,template-management,compliance/report actions","buyer-only request creation","menu + auditor routes","Confirmed from code"
"persona_vs_pages","tenant_admin","N/A","admin company/users/workflow settings","platform tenant global controls (unless superadmin)","admin routes","Confirmed from code"
"persona_vs_pages","superadmin","N/A","platform admin + tenant operations","none at platform scope (subject to endpoint guards)","auth middleware + platform routes","Confirmed from code"
"status_vs_actions","questionnaireStatus=request_received","request_received","view initial questionnaire data","final submission/signoff","auditRequestsMasterModel","Confirmed from code"
"status_vs_actions","questionnaireStatus=in_progress","in_progress","save drafts/edit answers/attachments","final close actions","auditRequestsMasterModel + report page logic","Confirmed from code"
"status_vs_actions","questionnaireStatus=sent_to_supplier","sent_to_supplier","supplier editing/submission","auditor final submission until supplier returns","auditRequestsMasterModel","Confirmed from code"
"status_vs_actions","questionnaireStatus=supplier_submitted","supplier_submitted","auditor review and follow-up","supplier direct edits unless follow-up reopened","model + page conditions","Strong inference from code"
"status_vs_actions","questionnaireStatus=followup_requested","followup_requested","supplier follow-up responses","auditor finalization until follow-up submitted","model + page status updates","Confirmed from code"
"status_vs_actions","questionnaireStatus=review_completed","review_completed","auditor generate report/compliance rerun","supplier main edits","model + report page actions","Strong inference from code"
"workflow_phase_vs_controls","INITIATED","INITIATED","intimation/rfq setup","execution questionnaire controls","auditPhases constants","Confirmed from code"
"workflow_phase_vs_controls","PREP","PREP","pre-audit questionnaire and DRL","findings/capa closure controls","auditPhases constants","Confirmed from code"
"workflow_phase_vs_controls","PLANNING","PLANNING","scope and agenda management","final report signoff","auditPhases constants","Confirmed from code"
"workflow_phase_vs_controls","EXECUTION","EXECUTION","execution questionnaire, evidence, compliance check","closure actions","auditPhases constants + report page","Confirmed from code"
"workflow_phase_vs_controls","FINDINGS","FINDINGS","finding/observation logging","initiation edits","auditPhases constants","Confirmed from code"
"workflow_phase_vs_controls","CAPA","CAPA","supplier CAPA submit/review","preparation edits","auditPhases constants","Confirmed from code"
"workflow_phase_vs_controls","CLOSURE","CLOSURE","final report signoff and completion","execution edits","auditPhases constants","Confirmed from code"
"workflow_phase_vs_controls","SURVEILLANCE","SURVEILLANCE","post-close monitoring","core execution authoring","auditPhases constants","Confirmed from code"
"security_enforcement","frontend_only_risk","N/A","N/A","N/A","Some visibility restrictions in SidebarNav only","Strong inference from code"
"security_enforcement","backend_enforced_not_obvious","N/A","N/A","Tenant mismatch returns 403/404 even if URL entered manually","auth + tenant assertions","Confirmed from code"
