"entity","status","meaning","entry_condition","exit_condition","who_can_change","ui_tag","source","confidence"
"AuditRequest.phaseState.currentPhase","INITIATED","Audit request created/initiated","Buyer submits request","Preparation phase started","System/Buyer/Auditor via phase APIs","Phase stepper","src/models/auditRequestsMasterModel.js + src/constants/auditPhases.js","Confirmed from code"
"AuditRequest.phaseState.currentPhase","PREP","Supplier prep artifacts/questionnaire stage","Initiated complete","Planning starts","System/Auditor","Phase stepper","src/constants/auditPhases.js","Confirmed from code"
"AuditRequest.phaseState.currentPhase","PLANNING","Agenda/scope planning","Prep complete","Execution starts","Auditor","Phase stepper","src/constants/auditPhases.js","Confirmed from code"
"AuditRequest.phaseState.currentPhase","EXECUTION","Execution questionnaire and evidence review","Planning complete","Findings starts","Auditor","Phase stepper","src/constants/auditPhases.js","Confirmed from code"
"AuditRequest.phaseState.currentPhase","FINDINGS","Observation/finding recording","Execution complete","CAPA starts","Auditor","Phase stepper","src/constants/auditPhases.js","Confirmed from code"
"AuditRequest.phaseState.currentPhase","CAPA","Supplier CAPA response","Findings complete","Closure starts","Supplier/Auditor","Phase stepper","src/constants/auditPhases.js","Confirmed from code"
"AuditRequest.phaseState.currentPhase","CLOSURE","Final report/signoff","CAPA complete","Surveillance or closed","Buyer/Auditor","Phase stepper","src/constants/auditPhases.js","Confirmed from code"
"AuditRequest.phaseState.currentPhase","SURVEILLANCE","Post-audit monitoring","Closure complete","N/A","Auditor/System","Phase stepper","src/constants/auditPhases.js","Confirmed from code"
"PhaseDetail.status","NOT_STARTED","Phase not started","Default","Set IN_PROGRESS/COMPLETED/BLOCKED","System/API","Status chip","src/constants/auditPhases.js","Confirmed from code"
"PhaseDetail.status","IN_PROGRESS","Phase active","Phase start action","COMPLETED/BLOCKED","System/API","Status chip","src/constants/auditPhases.js","Confirmed from code"
"PhaseDetail.status","COMPLETED","Phase done","Completion checks passed","No direct rollback expected","System/API","Status chip","src/constants/auditPhases.js","Confirmed from code"
"PhaseDetail.status","BLOCKED","Phase blocked by dependency","Validation/blocker set","IN_PROGRESS","System/API","Status chip","src/constants/auditPhases.js","Confirmed from code"
"AuditRequest.questionnaireStatus","request_received","Request created","Audit request created","in_progress","System","Questionnaire status","src/models/auditRequestsMasterModel.js","Confirmed from code"
"AuditRequest.questionnaireStatus","in_progress","Questionnaire work in progress","Question updates begin","sent_to_supplier/supplier_submitted","Supplier/Auditor","Questionnaire status","src/models/auditRequestsMasterModel.js","Confirmed from code"
"AuditRequest.questionnaireStatus","sent_to_supplier","Auditor sent to supplier","Send to supplier action","supplier_submitted","Auditor","Questionnaire status","src/models/auditRequestsMasterModel.js","Confirmed from code"
"AuditRequest.questionnaireStatus","supplier_submitted","Supplier submission complete","Supplier submits","followup_requested/review_completed","Supplier","Questionnaire status","src/models/auditRequestsMasterModel.js","Confirmed from code"
"AuditRequest.questionnaireStatus","followup_requested","Auditor asked follow-up","Flag follow-up","followup_submitted","Auditor","Questionnaire status","src/models/auditRequestsMasterModel.js","Confirmed from code"
"AuditRequest.questionnaireStatus","followup_submitted","Supplier follow-up response provided","Supplier follow-up submit","review_completed","Supplier","Questionnaire status","src/models/auditRequestsMasterModel.js","Confirmed from code"
"AuditRequest.questionnaireStatus","review_completed","Auditor review complete","Auditor completes review","auditor_submitted","Auditor","Questionnaire status","src/models/auditRequestsMasterModel.js","Confirmed from code"
"AuditRequest.questionnaireStatus","auditor_submitted","Final auditor submission","Auditor submits final","report generation","Auditor","Questionnaire status","src/models/auditRequestsMasterModel.js","Confirmed from code"
"AuditRequest.auditorDecision","PENDING","Auditor decision pending","Default","ACCEPTED/REJECTED","Auditor","Decision chip","src/models/auditRequestsMasterModel.js","Confirmed from code"
"AuditRequest.auditorDecision","ACCEPTED","Auditor accepted","Auditor accepts","Typically terminal","Auditor","Decision chip","src/models/auditRequestsMasterModel.js","Confirmed from code"
"AuditRequest.auditorDecision","REJECTED","Auditor rejected","Auditor rejects with reason","Reassignment/rework","Auditor","Decision chip","src/models/auditRequestsMasterModel.js","Confirmed from code"
"AuditRequest.supplierDecision","PENDING","Supplier decision pending","Default","ACCEPTED/REJECTED/PROPOSED","Supplier","Decision chip","src/models/auditRequestsMasterModel.js","Confirmed from code"
"AuditRequest.supplierDecision","ACCEPTED","Supplier accepted","Supplier acceptance","Workflow proceeds","Supplier","Decision chip","src/models/auditRequestsMasterModel.js","Confirmed from code"
"AuditRequest.supplierDecision","REJECTED","Supplier rejected","Supplier rejection","Reopen/close decision","Supplier","Decision chip","src/models/auditRequestsMasterModel.js","Confirmed from code"
"AuditRequest.supplierDecision","PROPOSED","Supplier proposed alternate dates","Supplier proposes dates","Buyer/auditor decision","Supplier","Decision chip","src/models/auditRequestsMasterModel.js","Confirmed from code"
"AuditArtifact.status","draft","Artifact draft state","Artifact created","sent/in_progress/complete","Role owner of artifact","Artifact badge","src/constants/auditPhases.js + artifact models","Strong inference from code"
"AuditArtifact.status","sent","Artifact sent for counterpart action","Send action","completed","Sender role","Artifact badge","src/constants/auditPhases.js + artifact controllers","Strong inference from code"
"AuditArtifact.status","in_progress","Artifact being worked","Counterpart opens/edits","complete","Assigned role","Artifact badge","src/constants/auditPhases.js + artifact controllers","Strong inference from code"
"AuditArtifact.status","complete","Artifact completed and locked","All sign-off complete","Terminal unless reopened","Workflow engine/API","Artifact badge","src/constants/auditPhases.js + auditPhaseController","Strong inference from code"
"WorkflowMilestoneInstance.status","NOT_STARTED","Milestone pending","Milestone instance created","IN_PROGRESS/COMPLETED/SKIPPED","Workflow APIs/system","Tracking tab","src/models/workflowMilestoneInstanceModel.js","Confirmed from code"
"WorkflowMilestoneInstance.status","IN_PROGRESS","Milestone active","Milestone started","COMPLETED/SKIPPED","Workflow APIs/system","Tracking tab","src/models/workflowMilestoneInstanceModel.js","Confirmed from code"
"WorkflowMilestoneInstance.status","COMPLETED","Milestone done","Completion event","Terminal","Workflow APIs/system","Tracking tab","src/models/workflowMilestoneInstanceModel.js","Confirmed from code"
"WorkflowMilestoneInstance.status","SKIPPED","Milestone skipped by config","Rule-based skip","Terminal","Workflow APIs/system","Tracking tab","src/models/workflowMilestoneInstanceModel.js","Confirmed from code"
"ComplianceRun.status","QUEUED/RUNNING/COMPLETED/FAILED","Compliance execution lifecycle","Run created","Completed or failed","Compliance service","Compliance result panel","src/routes/complianceRunRoutes.js + compliance run models","Strong inference from code"
